ALG	13	13	9	11.85	13	16	2	5	9	1.00
ANG	3	1	1	11.00	3	10	1	1	3	0.33
ARG	77	123	58	11.57	60	112	9	21	26	1.60
AUS	13	9	4	11.00	12	25	4	4	10	0.69
AUT	29	38	21	11.00	15	23	1	8	9	1.31
BEL	41	51	33	11.54	33	37	3	15	14	1.24
BIH	3	4	4	11.00	3	3	0	1	3	1.33
BOL	6	1	1	11.00	3	7	2	3	3	0.17
BRA	104	214	73	11.42	66	98	11	23	23	2.06
BUL	26	18	13	11.00	20	36	3	9	10	0.69
CAN	3	0	0	11.00	3	2	1	1	2	0.00
CHI	33	37	23	11.33	18	44	3	11	14	1.12
CHN	3	0	0	11.00	3	5	1	2	3	0.00
CIV	9	11	8	11.00	9	20	1	4	7	1.22
CMR	23	16	11	11.00	22	47	8	6	11	0.70
COL	18	25	16	12.22	13	22	0	6	10	1.39
CRC	15	18	14	12.47	15	31	1	4	9	1.20
CRO	16	19	12	11.00	16	35	4	6	4	1.19
CUB	3	5	3	11.00	0	0	0	1	2	1.67
CZE	3	3	2	11.00	3	6	2	2	3	1.00
DEN	16	23	15	11.00	16	31	3	6	8	1.44
ECU	10	10	6	11.00	10	23	1	5	7	1.00
EGY	4	2	1	11.00	3	4	0	3	2	0.50
ENG	62	69	40	11.00	41	51	3	11	17	1.11
ESP	59	76	40	11.00	44	64	1	21	19	1.29
FRA	59	93	50	11.37	42	57	6	17	20	1.58
FRG	62	121	40	11.00	34	40	3	9	14	1.95
GDR	6	4	3	11.00	6	10	0	1	3	0.67
GER	44	99	35	12.00	38	72	4	9	15	2.25
GHA	12	10	6	11.00	12	34	1	4	8	0.83
GRE	10	5	4	12.10	10	20	1	5	9	0.50
HAI	3	2	1	11.00	3	3	0	1	1	0.67
HON	9	3	3	11.00	9	14	2	3	5	0.33
HUN	32	81	33	11.00	9	6	5	12	10	2.53
INH	1	0	0	11.00	0	0	0	1	1	0.00
IRL	13	9	8	11.00	13	16	0	4	4	0.69
IRN	12	7	7	11.00	12	18	0	6	10	0.58
IRQ	3	1	1	11.00	3	9	1	2	2	0.33
ISR	3	1	1	11.00	3	4	0	1	1	0.33
ITA	83	116	62	11.00	61	91	8	20	29	1.40
JAM	3	3	2	11.00	3	5	1	2	2	1.00
JPN	17	14	10	11.00	17	31	0	5	8	0.82
KOR	31	31	25	11.00	29	61	2	11	18	1.00
KSA	13	6	5	11.00	13	22	1	6	6	0.46
KUW	3	2	2	11.00	3	3	0	1	1	0.67
MAR	13	12	9	11.00	12	19	0	6	7	0.92
MEX	53	49	37	11.21	35	70	6	14	19	0.92
NED	50	78	40	11.88	45	94	7	10	17	1.56
NGA	18	18	14	11.61	18	27	1	7	9	1.00
NIR	13	13	6	11.00	7	9	1	3	4	1.00
NOR	8	5	5	11.00	7	13	0	3	3	0.62
NZL	6	4	4	11.00	5	6	0	2	4	0.67
PAR	27	27	20	11.00	20	40	2	8	15	1.00
PER	15	17	9	11.00	13	9	1	4	6	1.13
POL	31	42	15	11.00	30	41	1	7	8	1.35
POR	26	34	20	11.00	20	43	6	7	11	1.31
PRK	7	6	5	11.00	3	2	0	2	4	0.86
ROU	21	28	18	11.00	16	32	1	7	11	1.33
RSA	9	9	8	11.00	9	21	2	3	7	1.00
RUS	9	10	7	11.00	9	21	1	4	6	1.11
SCG	3	2	2	11.00	3	11	2	2	3	0.67
SCO	23	21	16	11.00	16	17	1	11	7	0.91
SEN	5	6	3	11.00	3	14	1	2	3	1.20
SLV	6	1	1	11.00	6	9	0	2	2	0.17
SRB	3	2	2	11.00	3	9	1	1	3	0.67
SUI	33	45	26	11.33	15	31	1	11	17	1.36
SVK	4	4	2	11.00	4	11	0	1	3	1.00
SVN	6	5	5	11.00	6	19	1	2	6	0.83
SWE	46	70	36	11.00	29	40	3	14	12	1.52
TCH	30	37	21	11.00	10	18	4	7	14	1.23
TOG	3	1	1	11.00	3	9	1	2	3	0.33
TRI	3	0	0	11.00	3	9	1	1	3	0.00
TUN	12	7	7	11.00	11	29	1	5	9	0.58
TUR	10	20	11	11.00	7	18	2	3	5	2.00
UAE	3	2	2	11.00	3	6	1	2	3	0.67
UKR	5	4	4	11.00	5	12	1	1	3	0.80
URS	31	50	30	11.00	16	18	2	9	5	1.61
URU	51	76	38	11.22	31	61	9	16	15	1.49
USA	33	33	22	11.33	26	50	4	12	14	1.00
WAL	5	4	3	11.00	0	0	0	1	1	0.80
YUG	37	58	37	11.00	15	28	2	12	11	1.57
ZAI	3	0	0	11.00	3	2	1	1	3	0.00
